% Model,Relay.mph
% Version,COMSOL 5.5.0.359
% Date,"May 10 2020, 14:24"
% Table,Table 1 - Max Displacement
% Time (s),abs(w) (nm),Total displacement (nm)
0,0,0
0.01,0.0014396614184648269,0.001440116178385502
0.02,0.0057615743026373355,0.005763394119800728
0.03,0.012971364614163487,0.012975461302475887
0.04,0.0230521431404377,0.023059421892109803
0.05,0.037467550932115824,0.0374793784103377
0.06,0.05188295872379395,0.051899334928780017
0.07,0.06629836651547208,0.06631929144729691
0.08,0.0922202214637235,0.09224929684648592
0.09,0.1210468350875091,0.12108497017967361
0.1,0.1498734487112947,0.14992064352157347
0.11,0.17870006233508032,0.17875631686796936
0.12,0.20752667595886587,0.20759199021698763
0.13,0.2363532895826515,0.23642766356766892
0.14,0.2651799032064371,0.2652633369194707
0.15,0.3112546060061484,0.31135235651009524
0.16,0.3689030918821336,0.3690186871040581
0.17,0.42655157775811864,0.4266850179758044
0.18,0.4842000636341036,0.4843513490261165
0.19,0.5418485495100888,0.5420176801980006
0.2,0.5994970353860739,0.5996840114563851
0.21,0.657145521262059,0.6573503427785049
0.22,0.7147940071380441,0.7150166741489394
0.23,0.7724424930140292,0.7726830055568714
0.24,0.8300909788900142,0.8303493369944881
0.25,0.8877394647659993,0.8880156684560069
0.26,0.9453879506419844,0.9456819999370549
0.27,1.0030364365179696,1.003348331434265
0.28,1.0606849223939547,1.0610146629450021
0.29,1.1259571477585837,1.1263070075230235
0.3,1.2220244783017526,1.222403641376609
0.31,1.3180918088449218,1.3185002756695865
0.32,1.4141591393880908,1.414596910312409
0.33,1.51022646993126,1.5106935452383148
0.34,1.6062938004744292,1.6067901803965132
0.35000000000000003,1.7023611310175981,1.7028868157476782
0.36,1.7984284615607666,1.7989834512608864
0.37,1.8944957921039358,1.8950800869114874
0.38,1.9905631226471048,1.991176722679589
0.39,2.086630453190274,2.087273358548962
0.4,2.182697783733443,2.1833699945062337
0.41000000000000003,2.278765114276612,2.279466630540289
0.42,2.3748324448197806,2.3755632666418087
0.43,2.4708997753629496,2.4716599028029242
0.44,2.5975538011695423,2.5983509008521577
0.45,2.7319293214751204,2.7327653327482686
0.46,2.8663048417806984,2.8671797684569453
0.47000000000000003,3.000680362086277,3.0015942074659963
0.48,3.135055882391854,3.1360086493510417
0.49,3.2694314026974323,3.2704230937574734
0.5,3.403806923003011,3.4048375403866764
0.51,3.538182443308589,3.5392519889854
0.52,3.6725579636141674,3.6736664393374587
0.53,3.806933483919746,3.808080891257188
0.54,3.9413090042253236,3.942495344584245
0.55,4.075684524530902,4.076909799179434
0.56,4.210060044836481,4.211324254921325
0.5700000000000001,4.344435565142059,4.345738711703519
0.58,4.486691149812852,4.488034427801894
0.59,4.642713032580639,4.64409853481137
0.6,4.8014078213827345,4.8028359636059985
0.61,4.962775516219135,4.964246715721748
0.62,5.126816117089845,5.128330792666978
0.63,5.293529623994861,5.295088195919015
0.64,5.462916036934184,5.464518926921602
0.65,5.634975355907814,5.6366229870830065
0.66,5.8097075809157515,5.811400377774716
0.67,5.987112711957995,5.988851100330605
0.68,6.167190749034548,6.168975156046479
0.6900000000000001,6.349941692145405,6.351772546179938
0.7000000000000001,6.535365541290572,6.537243271950506
0.71,6.723462296470044,6.7253873345399375
0.72,6.914231957683823,6.91620473509274
0.73,7.1076745249319115,7.10969547471678
0.74,7.303789998214305,7.305859554484018
0.75,7.502578377531006,7.504696975431325
0.76,7.704039662882015,7.706207738561345
0.77,7.908173854267331,7.910391844843415
0.78,8.114980951686954,8.117249295214494
0.79,8.324460955140884,8.32678009058014
0.8,8.536613864629123,8.538984231815471
0.81,8.751439680151666,8.753861719766128
0.8200000000000001,8.968938401708519,8.971412555249264
0.8300000000000001,9.189110029299677,9.191636739054466
0.84,9.411954562925139,9.414534271944724
0.85,9.637472002584913,9.640105154657345
0.86,9.865662348278994,9.86834938790485
0.87,10.096339503012132,10.099078530908816
0.88,10.32954778130491,10.332337473473563
0.89,10.565407809985183,10.568248368449073
0.9,10.80391958905295,10.806811218274044
0.91,11.04508311850821,11.048026025328264
0.92,11.28889839835096,11.29189279193323
0.93,11.53536542858121,11.538411520352923
