% Model,Relay.mph
% Version,COMSOL 5.5.0.359
% Date,"May 10 2020, 17:15"
% Table,Table 1 - Max Displacement
% Time (s),Total displacement (nm)
0,0
0.01,0.001268192474404789
0.02,0.005072769829560784
0.03,0.012681923961800665
0.04,0.020291078094055715
0.05,0.03550938106753194
0.06,0.05072768404156289
0.07,0.06594598701576454
0.08,0.08116428999004079
0.09,0.11160083710004352
0.1,0.14203738423399653
0.11,0.1724739313792202
0.12,0.20291047853064284
0.13,0.23334702568583865
0.14,0.2637835728435018
0.15,0.2942201200028662
0.16,0.3246566671634536
0.17,0.385528845955231
0.18,0.44640102526216896
0.19,0.5072732048988116
0.2,0.5681453847591832
0.21,0.6290175647783308
0.22,0.6898897449142259
0.23,0.7507619251384704
0.24,0.8116341054311857
0.25,0.8725062857780416
0.26,0.9333784661684442
0.27,0.9942506465943965
0.28,1.0551228270497446
0.29,1.1159950075296785
0.3,1.1768671880303836
0.31,1.2377393685487952
0.32,1.2986115490824233
0.33,1.4000496335569967
0.34,1.5014877186494608
0.35000000000000003,1.6029258042425092
0.36,1.7043638902467628
0.37,1.8058019765929254
0.38,1.9072400632264426
0.39,2.0086781501037803
0.4,2.1101162371897764
0.41000000000000003,2.211554324455718
0.42,2.3129924118779295
0.43,2.4144304994367154
0.44,2.5158685871155577
0.45,2.6173066749004947
0.46,2.718744762779653
0.47000000000000003,2.8201828507428637
0.48,2.9216209387813734
0.49,3.0839278771156016
0.5,3.2462348448497536
0.51,3.408541837783959
0.52,3.5708488524819377
0.53,3.7331558861050067
0.54,3.895462936287591
0.55,4.057770001042591
0.56,4.220077078688611
0.5700000000000001,4.382384167793348
0.58,4.544691267129107
0.59,4.706998375637527
0.6,4.86930549240136
0.61,5.031612616621708
0.62,5.193919747599538
0.63,5.356226884720539
0.64,5.518534027442679
0.65,5.6808411752858685
0.66,5.843148327823359
0.67,6.005455484674537
0.68,6.167762645498855
0.6900000000000001,6.330069809990688
0.7000000000000001,6.492376977874978
0.71,6.654684148903498
0.72,6.816991322851665
0.73,6.979298499515789
0.74,7.141605678710685
0.75,7.303912860267645
0.76,7.466220044032619
