v(vg)`V`float	v(z)`V`float
0	0
0	0
0	0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0	-0
0.0351944	6.20066e-13
0.0925136	4.28639e-12
0.275935	3.82596e-11
0.862884	3.78271e-10
1.61288	1.36284e-09
2.36288	3.08985e-09
3.11288	5.87816e-09
3.86288	1.0737e-08
3.90668	1.115e-08
3.99976	1.21165e-08
4.07422	1.30009e-08
4.13379	1.38058e-08
4.18237	1.45491e-08
4.3378	1.80789e-08
4.34524	1.83514e-08
4.36277	1.91182e-08
4.36578	1.9276e-08
4.37357	1.97378e-08
4.3798	2.02117e-08
4.38443	2.06506e-08
4.38536	2.07628e-08
4.38767	2.10843e-08
4.38814	2.11614e-08
4.38962	2.14444e-08
4.38992	2.15124e-08
4.39087	2.17597e-08
4.39106	2.18184e-08
4.39166	2.20282e-08
4.39215	2.22602e-08
4.39259	2.25002e-08
4.39295	2.2778e-08
4.39323	2.30197e-08
4.39345	2.32881e-08
4.39363	2.35293e-08
4.39377	2.37604e-08
4.39423	2.50671e-08
4.39426	2.51678e-08
4.39434	2.55207e-08
4.3944	2.5853e-08
4.39459	2.74365e-08
4.39463	2.7903e-08
4.39466	2.83335e-08
4.39476	3.03483e-08
4.39484	3.29193e-08
4.39484	3.30841e-08
4.39486	3.36398e-08
4.39486	3.41284e-08
4.39487	3.4552e-08
4.39488	3.49146e-08
4.39488	3.49899e-08
4.39488	3.50508e-08
4.39488	3.50661e-08
4.39488	3.51154e-08
4.39488	3.51551e-08
4.39488	3.51705e-08
4.39488	3.51789e-08
4.39488	3.51971e-08
4.39488	3.5201e-08
4.39488	3.5204e-08
4.39488	3.52112e-08
4.39488	3.52217e-08
4.39488	3.523e-08
4.39488	3.52399e-08
4.39488	3.52684e-08
4.39488	3.53223e-08
4.39489	3.54639e-08
4.39489	3.58452e-08
4.3949	3.5864e-08
4.39492	3.56017e-08
4.39493	3.55913e-08
4.39494	3.56921e-08
4.39498	3.57854e-08
4.395	3.574e-08
4.39509	3.57394e-08
4.39538	3.5743e-08
4.39631	3.57388e-08
4.39926	3.57439e-08
4.40873	3.5741e-08
4.439	3.5751e-08
4.5359	3.57628e-08
4.84596	3.58059e-08
5	3.58194e-08
4.75353	3.57943e-08
4.00353	3.56241e-08
3.95666	3.55843e-08
3.91916	3.55461e-08
3.88916	3.54979e-08
3.88316	3.54841e-08
3.86396	3.5412e-08
3.86012	3.53821e-08
3.85705	3.53356e-08
3.85643	3.53161e-08
3.85631	3.53113e-08
3.85621	3.53068e-08
3.8559	3.52854e-08
3.85583	3.52787e-08
3.85563	3.52456e-08
3.85559	3.52347e-08
3.85546	3.51809e-08
3.85544	3.51634e-08
3.85536	3.50845e-08
3.85523	3.47824e-08
3.85509	3.36548e-08
3.85498	3.15725e-08
3.85487	2.79306e-08
3.85484	2.672e-08
3.85475	2.29621e-08
3.85468	1.99012e-08
3.85456	1.59514e-08
3.85448	1.40695e-08
3.85445	1.35848e-08
3.85442	1.31894e-08
3.85434	1.222e-08
3.85421	1.13458e-08
3.85405	1.09046e-08
3.85387	1.07266e-08
3.85364	1.06679e-08
3.85332	1.06534e-08
3.85283	1.06488e-08
3.85195	1.06409e-08
3.84991	1.06224e-08
3.84338	1.05637e-08
3.82247	1.03787e-08
3.75557	9.81646e-09
3.5415	8.25859e-09
3.21424	6.3745e-09
2.82562	4.64993e-09
2.34033	3.0256e-09
1.71358	1.54772e-09
0.963584	4.73362e-10
0.213583	2.29476e-11
0	8.93468e-15
