TIME v(z) 
 0.000E+00  0.000E+00 
 2.500E-11  0.000E+00 
 5.000E-11  0.000E+00 
 1.300E-10 -7.681E-171 
 3.860E-10 -2.138E-169 
 1.205E-09 -2.969E-168 
 3.827E-09 -3.274E-167 
 1.222E-08 -3.269E-166 
 3.906E-08 -2.869E-165 
 1.250E-07 -1.852E-164 
 3.998E-07 -6.152E-164 
 1.279E-06 -7.578E-164 
 2.779E-06 -6.609E-164 
 4.279E-06 -7.345E-164 
 5.779E-06 -6.787E-164 
 7.279E-06 -7.209E-164 
 8.779E-06 -6.891E-164 
 1.000E-05 -7.124E-164 
 1.000E-05  3.528E-28 
 1.000E-05  3.510E-26 
 1.000E-05  1.159E-24 
 1.000E-05  1.158E-22 
 1.000E-05  1.219E-20 
 1.000E-05  1.280E-18 
 1.000E-05  1.343E-16 
 1.000E-05  9.147E-16 
 1.000E-05  1.332E-15 
 1.000E-05  2.212E-15 
 1.000E-05  5.952E-15 
 1.000E-05  3.168E-14 
 1.000E-05  2.543E-13 
 1.000E-05  2.382E-12 
 1.001E-05  2.304E-11 
 1.002E-05  2.118E-10 
 1.008E-05  1.621E-09 
 1.019E-05  6.232E-09 
 1.033E-05  1.143E-08 
 1.052E-05  1.698E-08 
 1.081E-05  2.518E-08 
 1.083E-05  2.572E-08 
 1.088E-05  2.755E-08 
 1.090E-05  2.794E-08 
 1.093E-05  2.925E-08 
 1.096E-05  3.041E-08 
 1.098E-05  3.143E-08 
 1.099E-05  3.233E-08 
 1.101E-05  3.313E-08 
 1.103E-05  3.464E-08 
 1.104E-05  3.497E-08 
 1.104E-05  3.524E-08 
 1.104E-05  3.533E-08 
 1.104E-05  3.549E-08 
 1.105E-05  3.567E-08 
 1.105E-05  3.604E-08 
 1.106E-05  3.603E-08 
 1.106E-05  3.593E-08 
 1.108E-05  3.524E-08 
 1.113E-05  3.521E-08 
 1.113E-05  3.532E-08 
 1.114E-05  3.571E-08 
 1.115E-05  3.591E-08 
 1.115E-05  3.594E-08 
 1.117E-05  3.580E-08 
 1.122E-05  3.570E-08 
 1.123E-05  3.584E-08 
 1.124E-05  3.587E-08 
 1.127E-05  3.580E-08 
 1.129E-05  3.580E-08 
 1.136E-05  3.584E-08 
 1.159E-05  3.581E-08 
 1.232E-05  3.583E-08 
 1.382E-05  3.581E-08 
 1.532E-05  3.583E-08 
 1.682E-05  3.581E-08 
 1.832E-05  3.583E-08 
 1.982E-05  3.581E-08 
 2.000E-05  3.583E-08 
 2.000E-05  3.583E-08 
 2.000E-05  3.583E-08 
 2.000E-05  3.583E-08 
 2.000E-05  3.583E-08 
 2.000E-05  3.583E-08 
 2.000E-05  3.583E-08 
 2.000E-05  3.582E-08 
 2.001E-05  3.567E-08 
 2.003E-05  3.458E-08 
 2.007E-05  3.161E-08 
 2.010E-05  2.833E-08 
 2.014E-05  2.330E-08 
 2.026E-05  1.299E-08 
 2.039E-05  5.388E-09 
 2.056E-05  1.449E-09 
 2.081E-05  6.654E-11 
 2.123E-05 -1.903E-11 
 2.191E-05  9.391E-12 
 2.313E-05 -6.400E-12 
 2.463E-05  4.687E-12 
 2.613E-05 -3.432E-12 
 2.763E-05  2.512E-12 
 2.913E-05 -1.839E-12 
 3.000E-05  1.063E-12 
